35
-7
20190104:0710,0.0,0.0,0.0,0.0,2.24,1.59,0.0
20190104:0810,0.0,16.24,0.35,3.36,2.34,2.28,0.0
20190104:0910,357.73,107.74,3.16,11.51,2.92,2.0,0.0
20190104:1010,568.07,124.91,5.52,17.99,4.46,1.03,0.0
20190104:1110,586.98,165.77,6.75,22.27,5.48,0.62,0.0
20190104:1210,546.84,191.33,7.06,23.9,6.08,1.59,0.0
20190104:1310,619.38,146.7,7.04,22.69,6.32,1.79,0.0
20190104:1410,368.64,166.23,5.17,18.78,6.31,1.86,0.0
20190104:1510,0.0,60.7,1.3,12.59,6.11,1.66,0.0
20190104:1610,0.0,19.66,0.42,4.66,5.72,1.66,0.0
20190104:1710,0.0,0.0,0.0,0.0,5.17,1.59,0.0
20190104:1810,0.0,0.0,0.0,0.0,4.34,0.97,0.0
20190104:1910,0.0,0.0,0.0,0.0,3.59,1.38,0.0
20190104:2010,0.0,0.0,0.0,0.0,3.22,1.24,0.0
20190104:2110,0.0,0.0,0.0,0.0,2.71,1.17,0.0
20190104:2210,0.0,0.0,0.0,0.0,2.7,1.03,0.0
20190104:2310,0.0,0.0,0.0,0.0,3.4,0.83,0.0
20190105:0010,0.0,0.0,0.0,0.0,2.44,1.03,0.0
20190105:0110,0.0,0.0,0.0,0.0,1.83,1.59,0.0
20190105:0210,0.0,0.0,0.0,0.0,1.52,1.45,0.0
20190105:0310,0.0,0.0,0.0,0.0,1.37,1.31,0.0
20190105:0410,0.0,0.0,0.0,0.0,1.26,1.38,0.0
20190105:0510,0.0,0.0,0.0,0.0,1.54,1.31,0.0
20190105:0610,0.0,0.0,0.0,0.0,2.05,1.24,0.0
20190105:0710,0.0,0.0,0.0,0.0,2.86,0.97,0.0
20190105:0810,0.0,16.24,0.35,3.38,2.82,0.83,0.0
20190105:0910,368.74,105.38,3.2,11.55,4.02,0.55,0.0
20190105:1010,551.68,128.22,5.47,18.05,5.76,0.41,0.0
20190105:1110,706.32,119.9,7.13,22.35,7.76,0.76,0.0
20190105:1210,738.89,120.44,7.71,24.01,8.25,1.52,0.0
20190105:1310,703.35,110.12,7.31,22.81,8.29,1.86,0.0
20190105:1410,505.41,130.57,5.69,18.91,8.12,1.45,0.0
20190105:1510,0.0,49.59,1.06,12.74,7.86,1.03,0.0
20190105:1610,0.0,16.24,0.35,4.81,7.45,1.17,0.0
20190105:1710,0.0,0.0,0.0,0.0,6.71,1.24,0.0
20190105:1810,0.0,0.0,0.0,0.0,5.9,1.17,0.0
20190105:1910,0.0,0.0,0.0,0.0,5.81,0.83,0.0
20190105:2010,0.0,0.0,0.0,0.0,5.91,0.55,0.0
20190105:2110,0.0,0.0,0.0,0.0,6.14,0.41,0.0
