country_id,building_use_id,construction_year,total_primary_energy_intensity,total_energy_cost_intensity,total_CO2_intensity
15,6,1969,249.51,16.48,41523.86
15,6,1979,218.77,13.75,35270.13
15,6,1989,210.72,13.01,33598.51
15,6,1999,171.64,11.07,28126.63
15,6,2010,178.38,11.09,28570.58
15,6,2050,174.82,10.35,27169.60
27,1,null,158.18,16.65,30071.87
27,1,1945,189.66,20.04,36428.31
27,1,1969,198.21,20.94,38098.14
27,1,1979,190.56,20.13,36610.61
27,1,1989,142.13,14.90,26733.95
27,1,1999,137.83,14.49,26128.95
27,1,2010,134.43,14.09,25272.84
27,1,2050,114.42,11.93,21230.27
27,2,null,134,14.07,25331.65
27,2,1945,166.09,17.50,31667.87
27,2,1969,158.11,16.66,30167.21
27,2,1979,153.09,16.09,29002.90
27,2,1989,129.88,13.60,24362.50
27,2,1999,126.15,13.21,23655.93
27,2,2010,109.28,11.44,20493.52
27,2,2050,95.4,10.01,17971.59
27,3,null,134,14.07,25331.65
27,3,1945,166.09,17.50,31667.87
27,3,1969,158.11,16.66,30167.21
27,3,1979,153.09,16.09,29002.90
27,3,1989,129.88,13.60,24362.50
27,3,1999,126.15,13.21,23655.93
27,3,2010,109.28,11.44,20493.52
27,3,2050,95.4,10.01,17971.59
27,4,null,349.34,19.65,64293.97
27,4,1945,355.24,19.49,64379.62
27,4,1969,376.47,21.12,69185.26
27,4,1979,398.39,22.52,73544.92
27,4,1989,408.65,23.46,76172.39
27,4,1999,347.36,19.74,64346.33
27,4,2010,286.65,16.05,52605.05
27,4,2050,272.59,15.16,49824.20
27,5,null,369.41,19.46,65323.86
27,5,1945,396.6,22.18,72735.17
27,5,1969,411.34,22.23,73867.42
27,5,1979,393.28,21.01,70127.89
27,5,1989,367.66,18.97,64207.79
27,5,1999,368.36,18.65,63604.27
27,5,2010,357.14,17.87,61229.36
27,5,2050,291.45,15.33,51495.09
27,6,null,313.85,16.95,56341.66
27,6,1945,373.33,20.66,68034.52
27,6,1969,370.64,20.16,66828.03
27,6,1979,357.04,19.24,63998.98
27,6,1989,306.29,16.47,54845.06
27,6,1999,275.65,15.02,49752.59
27,6,2010,263.13,13.80,46393.33
27,6,2050,250.84,13.31,44539.13
31,1,null,222.28,25.86,44255.50
31,1,1945,306.35,35.88,61312.25
31,1,1969,285.91,33.33,57021.18
31,1,1979,259.05,30.15,51598.02
31,1,1989,223.38,25.89,44355.39
31,1,1999,183.75,21.27,36451.29
31,1,2010,169.5,19.66,33675.80
31,1,2050,128.03,14.80,25374.55
31,2,null,199.07,22.66,38995.14
31,2,1945,255.05,29.38,50404.89
31,2,1969,254.48,28.97,49846.43
31,2,1979,224.09,25.61,44023.54
31,2,1989,195.13,22.22,38235.61
31,2,1999,175.61,19.84,34206.75
31,2,2010,157.78,17.77,30655.66
31,2,2050,131.33,14.85,25593.13
31,3,null,167.95,19.26,33082.38
31,3,1945,217.57,25.02,42950.61
31,3,1969,208.32,23.91,41054.08
31,3,1979,188.94,21.69,37242.79
31,3,1989,170.29,19.50,33501.51
31,3,1999,154.52,17.69,30396.53
31,3,2010,124.01,14.18,24379.92
31,3,2050,112.01,12.84,22051.20
31,4,null,269.99,17.30,52604.91
31,4,1945,310.67,19.80,60455.17
31,4,1969,319.88,21.00,62682.90
31,4,1979,302.86,19.74,59244.62
31,4,1989,285.36,18.39,55678.33
31,4,1999,275.17,17.66,53634.30
31,4,2010,213.74,13.34,41396.62
31,4,2050,182.23,11.16,35142.40
31,5,null,465.42,34.57,94015.16
31,5,1945,542.43,40.28,109570.55
31,5,1969,536.27,39.83,108326.60
31,5,1979,476.23,35.37,96198.14
31,5,1989,501.2,37.22,101242.24
31,5,1999,483.86,35.93,97739.57
31,5,2010,389.33,28.91,78644.30
31,5,2050,328.64,24.41,66384.73
31,6,null,91.34,3.58,16201.87
31,6,1945,142.18,5.56,25210.59
31,6,1969,89.06,3.48,15791.08
31,6,1979,82.44,3.22,14619.01
31,6,1989,95.84,3.75,16996.90
31,6,1999,78.44,3.08,13917.00
31,6,2010,79.23,3.12,14063.98
31,6,2050,72.22,2.84,12814.52
